;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
0;Br[C+](Br)Br;871.0;343.0;;;;;;;;;;;;;;;;;;;
1;Br[P+]Br;973.0;431.0;;;;;;;;;;;;;;;;;;;
2;Br[Te+](Br)Br;786.0;;;;;;;;;;;;;;;;;;;;
3;C1=CCCC=CCC1.[Cl-].[Rh+];;;;;;4.93;1.25;;;;;;;;;;;;;;
4;C1=Cc2nc1c(-c1ccccc1)c1ccc([n-]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([n-]3)c2-c2ccccc2)C=C1.[Co+2];;;;;;4.44;0.58;;;;;;;;;;;;;;
5;C1=Cc2nc1c(-c1ccccc1)c1ccc([n-]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([n-]3)c2-c2ccccc2)C=C1.[Zn+2];;;;;;5.15;620.0;;;;;;;;;;;;;;
6;CC(=N\[O-])/C(C)=N/O.CC(=N\[O-])/C(C)=N/O.C[Co+2];;;;;;9.14;1.53;;;;;;;;;;;;;;
7;CC(=O)/C=C(/C)[O-].CC(=O)/C=C(/C)[O-].[O-2].[V+4];;;103.8;;;;;;;;;;;;;;;;;;
8;CC(C)(C)[P+](F)(C(C)(C)C)C(C)(C)C;619.0;;;;;;;;;;;;;;;;;;;;
9;CC(C)(C)[P+]1(C(C)(C)C)CB(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c21;;;87.3;;;;;;;;;;;;;;;;;;
10;CC(C)(C)[P+]1(C(C)(C)C)CB(c2cc(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c21;;;85.7;;;;;;;;;;;;;;;;;;
11;CC(C)(C)[PH+](c1c(F)c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1F)C(C)(C)C;;;80.2;;;;;;;;;;;;;;;;;;
12;CC(C)[P+](c1c(F)c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c1F)(C(C)C)C(C)C;;;85.6;;;;;;;;;;;;;;;;;;
13;CC(C)c1cc(C(C)C)c([Si+](c2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C(C)C)c1;744.0;571.0;;;;;;;;;;;;;;;;;;;
14;CC1(C)c2cccc([Sb+2](c3ccccc3)c3ccccc3)c2Oc2c([Sb+2](c3ccccc3)c3ccccc3)cccc21;360.0;;;;;;;;;;;;;;;;;;;;
15;CCCCCCCC[Si]1(C)OB(c2cccc([N+](=O)[O-])c2)OB(c2cccc([N+](=O)[O-])c2)O[Si](C)(CCCCCCCC)O1;;;62.0;;;;;;;;;;;;;;;;;;
16;CC[Al+2];481.0;;;;;;;;;;;;;;;;;;;;
17;CC[Si+](c1c(C(C)C)cc(C(C)C)cc1C(C)C)c1c(C(C)C)cc(C(C)C)cc1C(C)C;794.0;614.0;;;;;;;;;;;;;;;;;;;
18;CC[Zn+];716.0;;;;;;;;;;;;;;;;;;;;
19;CN(C)c1c(F)c(F)c([C+](c2c(F)c(F)c(N(C)C)c(F)c2F)c2c(F)c(F)c(N(C)C)c(F)c2F)c(F)c1F;524.0;;;;;;;;;;;;;;;;;;;;
20;CN(CCC/N=C/c1ccccc1[O-])CCC/N=C/c1ccccc1[O-].[Ni+2];;;;;;3.94;500.0;;;;;;;;;;;;;;
21;CN1CCN(C)[P+]1;721.0;344.0;;;;;;;;;;;;;;;;;;;
22;COc1c(F)c(F)c([C+](c2c(F)c(F)c(OC)c(F)c2F)c2c(F)c(F)c(OC)c(F)c2F)c(F)c1F;601.0;;;;;;;;;;;;;;;;;;;;
23;CS[P+]SC;802.0;417.0;;;;;;;;;;;;;;;;;;;
24;C[Al+]C;960.0;;;;;;;;;;;;;;;;;;;;
25;C[As+]C;915.0;;;;;;;;;;;;;;;;;;;;
26;C[B+]C;1007.0;;;;;;;;;;;;;;;;;;;;
27;C[C+](C)C;836.0;;;;;;;;;;;;;;;;;;;;
28;C[Ga+]C;853.0;;;;;;;;;;;;;;;;;;;;
29;C[Ge+](C)C;875.0;;;;;;;;;;;;;;;;;;;;
30;C[In+]C;832.0;;;;;;;;;;;;;;;;;;;;
31;C[P+]C;959.0;535.0;;;;;;;;;;;;;;;;;;;
32;C[Si+2]C.[C-]1C=CC=C1;817.0;;;;;;;;;;;;;;;;;;;;
33;C[Si+](C)C;641.75;301.0;;;;;;;;;;;;-1.16;;;;-1.48;-1.35;3;
34;C[Si+](C)CCC[SiH](C)C;815.0;;;;;;;;;;;;;;;;;;;;
35;C[Si+](C)c1c(-c2c(F)cccc2F)cccc1-c1c(F)cccc1F;811.0;;;;;;;;;;;;;;;;;;;;
36;C[Si+](C)c1cccc2cccc([SiH](C)C)c12;757.0;;;;;;;;;;;;;;;;;;;;
37;C[Si+]12(C)CC3CC1=C2C3;807.0;;;;;;;;;;;;;;;;;;;;
38;C[Si](C)(C)[N-][Si](C)(C)C.C[Si](C)(C)[N-][Si](C)(C)C.[Zn+2];;;;;;5.16;1.07;;;;;;;;;;;;;;
39;C[Sn+](C)C;826.0;;;;;;;;;;;;;;;;;;;;
40;C[Sn+](C)C.[Cl-];;;63.8;;;5.76;0.03;;;;;;;;;;;;;;
41;C[Zn+];921.0;;;;;;;;;;;;;;;;;;;;
42;C[n+]1cc[n+](C)[p-]1;651.0;277.0;;;;;;;;;;;;;;;;;;;
43;Cc1c(C)c(C)[c-](C)c1C.[Be+2];993.0;;;;;;;;;;;;;;;;;;;;
44;Cc1c(C)c(C)[c-](C)c1C.[Ge+2];693.0;;;;;;;;;;;;;;;;;;;;
45;Cc1c(C)c(C)[c-](C)c1C.[Pb+2];648.0;;;;;;;;;;;;;;;;;;;;
46;Cc1c(C)c(C)[c-](C)c1C.[Sn+2];684.0;;;;;;;;;;;;;;;;;;;;
47;Cc1c(C)c(C)c([Si+](c2c(C)c(C)c(C)c(C)c2C)c2c(C)c(C)c(C)c(C)c2C)c(C)c1C;768.0;594.0;;;;;;;;;;;;;;;;;;;
48;Cc1c([SiH](C)C)c([Si+](C)C)c([SiH](C)C)c([SiH](C)C)c1[SiH](C)C;681.0;;;;;;;;;;;;;;;;;;;;
49;Cc1cc(C)c(C)c([Si+](c2c(C)c(C)cc(C)c2C)c2c(C)c(C)cc(C)c2C)c1C;787.0;610.0;;;;;;;;;;;;;;;;;;;
50;Cc1cc(C)c([PH+](c2c(C)cc(C)cc2C)c2c(F)c(F)c(F)c(B(c3c(F)c(F)c(F)c(F)c3F)c3c(F)c(F)c(F)c(F)c3F)c2F)c(C)c1;;;84.6;;;;;;;;;;;;;;;;;;
51;Cc1cc(C)c([Si+](c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1;800.0;620.0;;;;;;;;;;;;;;;;;;;
52;Cc1cccc(C)c1-c1cccc(-c2c(C)cccc2C)c1[Si+](C)C;797.0;;;;;;;;;;;;;;;;;;;;
53;Cc1cccc(C)c1[Si+](c1c(C)cccc1C)c1c(C)cccc1C;818.0;633.0;;;;;;;;;;;;;;;;;;;
54;Cl[C+](Cl)Cl;904.0;359.0;;;;;;;;;;;;;;;;;;;
55;Cl[P+]Cl;1003.0;445.0;;;;;;;;;;;;;;;;;;;
56;Cl[Si+](Cl)Cl;1111.0;;;;;;;;;;;;;;;;;;;;
57;Cl[Te+](Cl)Cl;831.0;;;;;;;;;;;;;;;;;;;;
58;Clc1c(Cl)c(Cl)c([C+](c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl;570.0;202.0;;;;;;;;;;;;;;;;;;;
59;FC(F)(F)C(O[Nb+3](OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F;530.0;;;;;;;;;;;;;;;;;;;;
60;FC(F)(F)C(O[Nb+3](OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F;496.0;;;;;;;;;;;;;;;;;;;;
61;FC(F)(F)C(O[Ta+3](OC(C(F)(F)F)C(F)(F)F)OC(C(F)(F)F)C(F)(F)F)C(F)(F)F;511.0;;;;;;;;;;;;;;;;;;;;
62;F[B+]F;1227.0;;;;;;;;;;;;;;;;;;;;
63;F[Br+]F.[F-];308.0;;;;;;;;;;;;;;;;;;;;
64;F[C+](F)F;1136.0;497.0;;;;;;;;;;;;;;;;;;;
65;F[Cl+2](F)F.[F-].[F-];313.0;;;;;;;;;;;;;;;;;;;;
66;F[N+]F;1082.0;;;;;;;;;;;;;;;;;;;;
67;F[P+](F)(F)F;1561.0;;;;;;;;;;;;;;;;;;;;
68;F[P+](c1ccccc1)(c1ccccc1)c1ccccc1;657.0;;;;;;;;;;;;;;;;;;;;
69;F[P+]F;1129.0;480.0;;;;;;;;;;;;;;;;;;;
70;F[S+](F)(F)(F)F;1252.0;;;;;;;;;;;;;;;;;;;;
71;F[S+](F)F;882.0;;;;;;;;;;;;;;;;;;;;
72;F[Si+](F)F;1294.0;;;;;;;;;;;;;;;;;;;;
73;F[Te+](F)F;957.0;;;;;;;;;;;;;;;;;;;;
74;F[Xe+](F)F.[F-];239.0;;;;;;;;;;;;;;;;;;;;
75;Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c([P+](C3CCCCC3)(C3CCCCC3)C3CCCCC3)c2F)c(F)c1F;;;85.2;;;;;;;;;;;;;;;;;;
76;Fc1c(F)c(F)c(O[P+](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;743.0;;;;;;;;;;;;;;;;;;;;
77;Fc1c(F)c(F)c([C+](c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;640.0;244.0;;;;;;;;;;;;;;;;;;;
78;Fc1c(F)c(F)c([P+](F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;1350.0;;;;;;;;;;;;;;;;;;;;
79;Fc1c(F)c(F)c([P+](F)(c2ccccc2)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;742.0;;;;;;;;;;;;;;;;;;;;
80;Fc1c(F)c(F)c([P+](F)(c2ccccc2)c2ccccc2)c(F)c1F;700.0;;;;;;;;;;;;;;;;;;;;
81;Fc1c(F)c(F)c([P+](Oc2ccccc2)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F;704.0;;;;;;;;;;;;;;;;;;;;
82;Fc1cc(F)c(F)c([P+](F)(c2c(F)c(F)cc(F)c2F)c2c(F)c(F)cc(F)c2F)c1F;1200.0;;;;;;;;;;;;;;;;;;;;
83;Fc1cc([N-]c2c(F)c(F)c(F)c(F)c2F)c(F)c(F)c1FFc1cc([N-]c2c(F)c(F)c(F)c(F)c2F)c(F)c(F)c1F[Ga+3];;;;;;;;;;;;;;;;;;;;;
84;Fc1ccc(O[P+](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1;718.0;;;;;;;;;;;;;;;;;;;;
85;Fc1ccc(O[P+](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1;712.0;;;;;;;;;;;;;;;;;;;;
86;Fc1ccc([P+](F)(c2ccc(F)cc2)c2ccc(F)cc2)cc1;895.0;;;;;;;;;;;;;;;;;;;;
87;I[C+](I)I;813.0;302.0;;;;;;;;;;;;;;;;;;;
88;I[P+]I;920.0;395.0;;;;;;;;;;;;;;;;;;;
89;I[Te+](I)I;735.0;;;;;;;;;;;;;;;;;;;;
90;O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F.O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F.[Cu+2];;;;;;3.46;1.32;;;;;;;;;;;;;;
91;O=C(C(C(=O)C(F)(F)F)[Sc+3](N(C(=O)C(F)(F)F)C(=O)C(F)(F)F)N(C(=O)C(F)(F)F)C(=O)C(F)(F)F)C(F)(F)F;424.0;;;;;;;;;;;;;;;;;;;;
92;O=C(O[Sc+3](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)C(F)(F)F;507.0;;;;;;;;;;;;;;;;;;;;
93;O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[Al+3];485.0;;;;;;;;;;;;;;;;;;;;
94;O=S(=O)(N([Sc+3](N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F;474.0;;;;;;;;;;;;;;;;;;;;197
95;O=S(=O)(O[Sc+3](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F;516.0;;;;;;;;;;;;;;;;;-1.35;-1.50;6;198
96;O=[Cl+2][O-];907.0;;;;;;;;;;;;;;;;;;;;
97;O=[N+]([O-])F;80.0;;;;;;;;;;;;;;;;;;;;
98;O=[N+]([O-])c1cccc(B2OB(c3cccc([N+](=O)[O-])c3)OB(c3cccc([N+](=O)[O-])c3)O2)c1;;;52.6;;;;;;;;;;;;;;;;;;
99;O=[N+]([O-])c1cccc(B2OB(c3cccc([N+](=O)[O-])c3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)c1;;;46.0;;;;;;;;;;;;;;;;;;
100;O=[S+](F)(c1ccccc1)c1ccccc1;556.0;585.0;;;;;;;;;;;;;;;;;;;
101;O=[S+]1(F)c2ccccc2-c2ccccc21;630.0;;;;;;;;;;;;;;;;;;;;
102;O=[Xe+2](F)F.[F-].[F-];267.0;;;;;;;;;;;;;;;;;;;;
103;[Ag+5].[F-].[F-].[F-].[F-].[F-];525.0;;;;;;;;;;;;;;;;;;;;
104;[Ag+];;;65.9;5.0;12.0;;;;;;;;;;;;;;;;70
105;[Al+3];515.9;;;1.6e-06;4.97;;;;;;;;;;;;2.35;;;;
106;[Al+3].[Br-].[Br-].[Br-];494.0;;;;;;;;;163.0;;138.0;;;;;;;;;
107;[Al+3].[Cl-].[Cl-].[Cl-];516.0;;106.2;;;;;;;;-35.0;117.0;;;;;;;;;
108;[Al+3].[Cl-].[Cl-].[F-];481.0;;;;;;;;;;;;;;;;;;;;
109;[Al+3].[Cl-].[F-].[F-];500.0;;;;;;;;;;;;;;;;;;;;
110;[Al+3].[F-].[F-];1196.0;;;;;;;;;;;;;;;;;;;;
111;[Al+3].[F-].[F-].[F-];502.0;;;;;;;;;;;;;;;;;;;;
112;[Au+5].[F-].[F-].[F-].[F-].[F-];571.0;;;;;;;;;;;;;;;;;;;;
113;[Ba+2];;;50.7;60.0;13.47;;;;;;;;;;;;0.28;;;;
114;[Be+2].[F-];1276.0;;;;;;;;;;;;;;;;;;;;
115;[Be+2].[F-].[F-];376.0;;;;;;;;;;;;;;;;;;;;
116;[Be+2].c1cc[cH-]c1;1048.0;;;;;;;;;;;;;;;;;;;;
117;[Bi+3];;;;;1.09;;;;;;-51.0;;;;;;;;;;
118;[Bi+3].[Br-].[Br-].[Br-];;;;;;;;;;;-46.0;;;;;;;;;;
119;[Bi+3].[Cl-].[Cl-].[Cl-];;;;;;;;53.0;-52.0;59.0;-40.0;;;;;;;;;;
120;[Br-].[Br-].[Br-].[Br-].[Sn+4];;;;;;;;;;136.0;;111.0;;;;;;;;;
121;[Br-].[Br-].[Br-].[Br-].[Ti+4];;;;;;;;;;181.0;;128.0;;;;;;;;;
122;[Br-].[Br-].[Br-].[Fe+3];;;;;;;;;;154.0;;;;;;;;;;;
123;[Br-].[Br-].[Br-].[Ga+3];436.0;;;;;;;;;;;;;;;;;;;;
124;[Br-].[Br-].[Br-].[In+3];467.0;;;;;;;;;;;107.0;;;;;;;;;
125;[Br-].[Br-].[Ca+2];;;;;;;;;;52.0;;;;;;;;;;;
126;[Br-].[Br-].[Cd+2];;;;;;;;;;;-35.0;;;;;;;;;;
127;[Br-].[Br-].[Hg+2];;;;;;;;;;54.0;-34.0;;;;;;;;;;
128;[C-]#[O+].[C-]#[O+].[Cl-].[Rh+];;;;;;8.72;2.02;;;;;;;;;;;;;;
129;[C-]1C=CC=C1.[Ge+2];761.0;;;;;;;;;;;;;;;;;;;;
130;[C-]1C=CC=C1.[Pb+2];698.0;;;;;;;;;;;;;;;;;;;;
131;[C-]1C=CC=C1.[Sn+2];738.0;;;;;;;;;;;;;;;;;;;;
132;[CH3+];1112.0;501.0;;;;;;;;;;;;;;;;;;;
133;[Ca+2];;;61.3;50.0;12.85;;;;;;;;-1465;-1.44;0.19;107.0;0.5;-1.24;-1.21;2;11
134;[Ca+2].[Cl-].[Cl-];;;;;;;;;;47.0;;;;;;;;-1.67;-1.67;8;
135;[Cd+2];;;60.5;100.0;10.08;;;;;;;;;;0.27;148.0;1.3;;;;
136;[Cd+2].[Cl-].[Cl-];;;;;;;;;;34.0;-14.0;;;;;;;;;;
137;[Ce+3];;;63.3;270.0;8.3;;;;;;;;;;;;;;;;
138;[Ce+4];;;82.1;;;;;;;;;;;;;;;;;;
139;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[W+6];;;;;;;;69.0;-14.0;;;;;;;;;;;;
140;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Mo+5];;;;;;;;64.0;18.0;;;;;;;;;;;;
141;[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Nb+5];;;106.1;;;;;85.0;44.0;;;;;;;;;;;;
